VIN (1-10),City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Electric Utility,Longitude,Latitude
WBY1Z8C50H,Edgewood,WA,98371.0,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97.0,32503.85,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.299155,47.19178
7SAYGDEF2P,Lacey,WA,98516.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,110.99,33950.0,PUGET SOUND ENERGY INC,-122.7474291,47.0821119
WVWKP7AU1G,Bellevue,WA,98008.0,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83.0,46056.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.11832,47.6245
7SAYGDEE0N,Seattle,WA,98105.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,53.0,83167.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.319115,47.66132
5YJSA1E23H,Camas,WA,98607.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,74838.5,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),-122.405565,45.59009
5YJ3E1EBXN,Maple Valley,WA,98038.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,125.0,37904.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.05191,47.357985
1G1RD6S53H,Roy,WA,98580.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83125.5,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.522985,46.9876
3FMTK3SU4M,Seattle,WA,98101.0,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,68.0,69131.25,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.335345,47.61079
5YJYGDEE1M,Walla Walla,WA,99362.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,100.03,32995.0,PACIFICORP,-118.34332,46.063985
1G1RA6S54H,Burlington,WA,98233.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83086.5,PUGET SOUND ENERGY INC,-122.33079,48.474765
7SAYGDEE5N,Seattle,WA,98106.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,125.0,37904.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.356145,47.52104
5YJ3E1EA1J,Seattle,WA,98126.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,88782.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.374105,47.54468
5YJ3E1EB0N,Moses Lake,WA,98837.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,105.56,33491.6,PUD NO 2 OF GRANT COUNTY,-119.2599876,47.1240154
5YJ3E1EA5J,Lake Stevens,WA,98258.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,88782.5,PUGET SOUND ENERGY INC,-122.112265,48.0047
1G1RD6S53H,Covington,WA,98042.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83106.75,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.111625,47.36078
7SAYGDEEXP,Auburn,WA,98001.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,124.66666666666652,37904.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.2849393,47.3384055
5YJ3E1EA3M,Seattle,WA,98117.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,58.0,78195.75,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.37275,47.68968
1G1FZ6S09M,Bremerton,WA,98310.0,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,107.0,33596.65,PUGET SOUND ENERGY INC,-122.611365,47.575195
1G1RA6S52H,Kirkland,WA,98034.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83100.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.209285,47.71124
5YJSA1E23G,Edmonds,WA,98020.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,74838.5,PUGET SOUND ENERGY INC,-122.37507,47.80807
7SAYGAEEXP,Shoreline,WA,98155.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,125.0,37904.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.3175,47.7578146
WA1VABGE4K,Bellingham,WA,98225.0,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204.0,67383.5,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,-122.486115,48.761615
5YJ3E1EA6K,Kirkland,WA,98033.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,98950.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.20264,47.6785
WBY1Z4C57F,Hoquiam,WA,98550.0,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72.0,62134.5,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,-123.8868787,46.9805308
WBY7Z4C54J,Seattle,WA,98106.0,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97.0,32539.1,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.356145,47.52104
1G1FZ6S09M,Des Moines,WA,98198.0,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,107.0,33596.65,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.3219166,47.4013897
1G1RA6S58H,Steilacoom,WA,98388.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83101.5,BONNEVILLE POWER ADMINISTRATION||TOWN OF STEILACOOM|CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.5970685,47.1686632
7SAYGDEF5P,Everett,WA,98204.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,106.56,33568.0,PUGET SOUND ENERGY INC,-122.240535,47.91139
5YJ3E1EB3L,Battle Ground,WA,98604.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322.0,59900.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),-122.53218,45.77945
5YJ3E1EA4K,Seattle,WA,98199.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,98950.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.394185,47.639195
1G1RA6S50H,Tumwater,WA,98501.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83113.5,PUGET SOUND ENERGY INC,-122.89692,47.043535
